marca,modelo,año,kilometraje_km,combustible,potencia_cv,transmision,precio_eur,tipo_venta,etiqueta_ambiental
Dacia,Dacia Sandero,2018,79149.0,Gasolina,73.0,Manual,8200,Usado,C
Renault,Renault Mégane,2021,65441.0,Híbrido Enchufable,160.0,Automática,22300,Usado,ECO
Dacia,Dacia Sandero,2020,24729.0,Gasolina,100.0,Manual,14850,Usado,C
Nissan,Nissan QASHQAI,2016,73362.0,Gasolina,115.0,Automática,15990,Usado,C
Audi,Audi Q3 Sportback,2023,24660.0,Híbrido Enchufable,245.0,Automática,48790,Usado,ECO
Toyota,Toyota Auris,2014,80922.0,Gasolina,132.0,Manual,12700,Usado,C
Citroën,Citroën C5 Aircross,2022,89098.0,Diésel,131.0,Automática,19256,Usado,C
Kia,KIA Carens,2018,51748.0,Gasolina,135.0,Manual,16200,Usado,C
Hyundai,Hyundai i20,2020,69895.0,Gasolina,84.0,Manual,13500,Usado,C
Mercedes,Mercedes Clase GLK,2009,150312.0,Gasolina,272.0,Automática,16700,Usado,C
Ford,Ford Transit Courier,2017,126364.0,Diésel,75.0,Manual,10850,Usado,C
Kia,KIA Sportage,2023,29897.0,Híbrido,150.0,Automática,34990,Usado,ECO
Volkswagen,Volkswagen Golf,2010,155499.0,Diésel,105.0,Manual,8150,Usado,B
Mitsubishi,Mitsubishi Eclipse Cross,2022,36392.0,Híbrido Enchufable,188.0,Automática,27250,Usado,ECO
Mercedes,Mercedes Clase E,2016,53299.0,Diésel,170.0,Manual,26750,Usado,C
Peugeot,Peugeot Rifter,2020,70499.0,Diésel,130.0,Automática,23990,Usado,C
Opel,Opel Zafira Tourer,2016,85713.0,Gasolina,140.0,Manual,13750,Usado,C
Mazda,Mazda CX-5,2020,70672.0,Diésel,150.0,Manual,26900,Usado,C
Ford,Ford Puma,2024,67.0,Híbrido,125.0,Automática,26700,Usado,ECO
Fiat,Fiat Tipo,2018,84094.0,Diésel,120.0,Manual,12990,Usado,C
Citroën,Citroën Berlingo,2016,62124.0,Diésel,120.0,Manual,14750,Usado,C
Ford,Ford Focus,2020,74907.0,Híbrido,125.0,Manual,17990,Usado,ECO
Ford,Ford Focus,2018,109386.0,Gasolina,125.0,Manual,15300,Usado,C
Seat,Seat Tarraco,2020,88721.0,Diésel,190.0,Automática,33500,Usado,C
Infiniti,Infiniti Q30,2019,41334.0,Gasolina,122.0,Manual,18950,Usado,C
Skoda,Skoda Scala,2021,52718.0,Gasolina,150.0,Manual,18200,Usado,C
Peugeot,Peugeot 3008,2020,58320.0,Diésel,130.0,Automática,25900,Usado,C
Bmw,BMW Serie 1,2017,129676.0,Diésel,116.0,Manual,17990,Usado,C
Opel,Opel Crossland X,2018,95719.0,Gasolina,130.0,Manual,11800,Usado,C
Bmw,BMW Serie 1,2017,73815.0,Diésel,116.0,Manual,18990,Usado,C
Volkswagen,Volkswagen Polo,2019,119751.0,Gasolina,80.0,Manual,11990,Usado,C
Audi,Audi A1,2019,42876.0,Gasolina,116.0,Manual,21350,Usado,C
Ssangyong,SsangYong Tivoli,2016,125996.0,Diésel,115.0,Manual,13990,Usado,C
Hyundai,Hyundai Tucson,2024,8495.0,Híbrido,150.0,Manual,29750,Usado,ECO
Volvo,Volvo XC40,2022,23251.0,Híbrido Enchufable,211.0,Automática,34500,Usado,ECO
